FilePath,#triples,Property,Aspect,Characteristic,Entity,Constraint,AbstractEntity,AbstractProperty,Collection,Trait,Set,Quantifiable,RangeConstraint,RegularExpressionConstraint,description,exampleValue,see,preferredName,unit,maxValue,minValue,upperBoundDefinition,lowerBoundDefinition,constraint,baseCharacteristic,value
io.catenax.shared.message_header/3.2.0/MessageHeaderAspect.ttl,47,4,1,2,1,0,0,0,0,0,0,0,0,0,8,3,0,8,0,0,0,0,0,0,0,0
io.catenax.shared.shopfloor_information_types/1.2.0/ShopfloorInformationTypes.ttl,31,2,1,2,1,0,0,0,0,0,0,0,0,0,6,1,0,6,0,0,0,0,0,0,0,0
io.catenax.essincident/3.1.0/EssIncident.ttl,346,28,1,1,1,0,0,0,0,2,0,0,0,2,40,25,1,40,0,0,0,0,0,2,2,0
io.catenax.demand_and_capacity_notification/2.1.0/DemandAndCapacityNotification.ttl,147,11,1,1,0,0,0,0,0,1,2,0,0,0,19,11,1,19,0,1,0,0,0,1,1,0
io.catenax.material_flow_simulation_result/2.2.0/MaterialFlowSimulationResultAspect.ttl,62,4,1,2,1,0,0,0,0,0,0,0,0,0,9,3,0,9,0,0,0,0,0,0,0,0
io.catenax.generic.digital_product_passport/3.0.0/DigitalProductPassport.ttl,1526,109,1,26,34,0,0,0,0,4,0,3,0,3,223,60,22,222,1,1,0,0,0,4,4,0
io.catenax.single_level_bom_as_built/3.2.0/SingleLevelBomAsBuilt.ttl,46,3,1,1,1,0,0,0,0,1,1,0,0,1,9,1,0,9,0,0,0,0,0,1,1,0
io.catenax.quality_task_attachment/1.1.0/QualityTaskAttachment.ttl,103,8,1,1,2,0,0,0,0,0,0,0,0,0,15,5,0,15,1,0,0,0,0,0,0,0
io.catenax.shared.recycling_strategy_certificate/3.1.0/RecyclingStrategyCertificate.ttl,78,8,1,2,1,0,0,0,0,0,0,0,0,0,12,6,0,12,0,0,0,0,0,0,0,0
io.catenax.parts_analyses/2.2.0/PartsAnalyses.ttl,84,7,1,2,1,0,0,0,0,1,0,0,0,1,14,6,1,14,0,0,0,0,0,1,1,0
io.catenax.single_level_usage_as_built/2.1.0/SingleLevelUsageAsBuilt.ttl,79,5,1,1,2,0,0,0,0,1,1,0,0,1,13,3,2,12,0,0,0,0,0,1,1,0
io.catenax.transmission.transmission_pass/2.2.0/TransmissionPass.ttl,52,3,1,2,2,0,0,0,0,0,0,0,0,0,9,1,0,9,1,0,0,0,0,0,0,0
io.catenax.quality_task/2.2.0/QualityTask.ttl,29,2,1,1,1,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,0,0,0,0,0,0
io.catenax.fleet.vehicles/3.1.0/Vehicles.ttl,40,3,1,1,1,0,0,0,0,0,0,0,0,0,6,2,0,6,0,0,0,0,0,0,0,0
io.catenax.battery.battery_pass/6.1.0/BatteryPass.ttl,582,41,1,22,23,0,0,0,0,0,0,0,0,0,92,6,2,92,2,0,0,0,0,0,0,0
io.catenax.shared.contact_information/4.2.0/ContactInformation.ttl,38,2,1,1,1,0,0,0,0,1,0,0,0,1,6,1,2,6,0,0,0,0,0,1,1,0
io.catenax.software_information/1.2.0/SoftwareInformation.ttl,33,2,1,1,1,0,0,0,0,0,1,0,0,0,6,1,0,6,0,0,0,0,0,0,0,0
io.catenax.fleet.vehicles/1.1.0/Vehicles.ttl,16,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
io.catenax.shared.shopfloor_information_types/2.0.0/ShopfloorInformationTypes.ttl,74,4,1,2,1,0,0,0,0,0,0,0,0,0,10,2,0,10,0,0,0,0,0,0,0,0
io.catenax.generic.digital_product_passport/2.1.0/DigitalProductPassport.ttl,564,37,1,12,17,0,0,0,0,1,0,2,0,1,89,20,15,89,0,0,0,0,0,1,1,0
io.catenax.reuse_certificate/2.0.0/ReuseCertificate.ttl,12,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
